Ciqual AGB,Ciqual code,Nom Français,Groupe d'aliment,Sous-groupe d'aliment,LCI Name,Ingredients,Score unique EF (mPt/kg de produit),Changement climatique (kg CO2 eq/kg de produit),Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),Rayonnements ionisants (kBq U-235 eq/kg de produit),Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),Particules (E-06 disease inc./kg de produit),Acidification terrestre et eaux douces (mol H+ eq/kg de produit),Eutrophisation terreste (mol N eq/kg de produit),Eutrophisation eaux douces (E-03 kg P eq/kg de produit),Eutrophisation marine (E-03 kg N eq/kg de produit),Utilisation du sol (Pt/kg de produit),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),Épuisement des ressources eau (m3 depriv./kg de produit),Épuisement des ressources énergétiques (MJ/kg de produit),Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit)
11168,11168,"Sauce aïoli, préemballée",aides culinaires et ingrédients divers,sauces,"Aioli sauce (garlic and olive oil mayonnaise), prepacked",Jaune d'œuf,0.04,0.16,0.01,0.03,0.63,0.05,0.01,0.03,0.05,1.33,16.98,7.40,0.34,1.48,0.25
11168,11168,"Sauce aïoli, préemballée",aides culinaires et ingrédients divers,sauces,"Aioli sauce (garlic and olive oil mayonnaise), prepacked",Ail,0.00,0.01,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.19,1.64,1.22,0.29,0.23,0.08
11168,11168,"Sauce aïoli, préemballée",aides culinaires et ingrédients divers,sauces,"Aioli sauce (garlic and olive oil mayonnaise), prepacked",Jus de citron,0.02,0.06,0.01,0.01,0.33,0.01,0.00,0.00,0.02,0.21,3.71,2.63,1.45,0.79,0.20
11168,11168,"Sauce aïoli, préemballée",aides culinaires et ingrédients divers,sauces,"Aioli sauce (garlic and olive oil mayonnaise), prepacked",Huile d'olive,0.45,1.16,0.14,0.08,10.41,0.14,0.02,0.09,0.55,9.26,7.58,464.10,9.37,12.10,4.42
11168,11168,"Sauce aïoli, préemballée",aides culinaires et ingrédients divers,sauces,"Aioli sauce (garlic and olive oil mayonnaise), prepacked",Autres étapes,0.08,0.57,0.13,0.75,1.69,0.02,0.00,0.01,0.09,1.30,4.53,11.43,0.76,22.63,1.28
24664,24664,Gâteau aux amandes type financier,produits céréaliers,gâteaux et pâtisseries,Almond cake,Amande,0.35,0.91,0.07,0.07,4.77,0.10,0.01,0.05,0.41,4.77,64.11,49.55,27.02,11.36,8.10
24664,24664,Gâteau aux amandes type financier,produits céréaliers,gâteaux et pâtisseries,Almond cake,Beurre,0.29,3.95,0.12,0.13,6.36,0.22,0.03,0.12,0.49,9.77,125.87,24.55,2.57,11.59,4.40
24664,24664,Gâteau aux amandes type financier,produits céréaliers,gâteaux et pâtisseries,Almond cake,Blanc d'oeuf,0.11,0.46,0.04,0.08,1.77,0.13,0.02,0.08,0.15,3.72,47.54,20.72,0.95,4.13,0.70
24664,24664,Gâteau aux amandes type financier,produits céréaliers,gâteaux et pâtisseries,Almond cake,Farine de blé,0.01,0.04,0.00,0.01,0.18,0.01,0.00,0.00,0.01,0.64,8.36,2.23,0.02,0.36,0.08
24664,24664,Gâteau aux amandes type financier,produits céréaliers,gâteaux et pâtisseries,Almond cake,Sucre blanc,0.03,0.16,0.01,0.01,0.61,0.03,0.00,0.02,0.05,1.51,9.18,7.05,0.63,1.62,0.38
24664,24664,Gâteau aux amandes type financier,produits céréaliers,gâteaux et pâtisseries,Almond cake,Autres étapes,0.07,0.59,0.10,0.65,1.33,0.02,0.00,0.01,0.06,1.15,4.21,6.08,0.40,21.12,0.80
15201,15201,"Pâte d'amande, préemballée","fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"Almond paste or marzipan, prepacked",Amande,1.07,2.81,0.22,0.22,14.66,0.30,0.04,0.14,1.25,14.64,196.82,152.12,82.97,34.87,24.88
15201,15201,"Pâte d'amande, préemballée","fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"Almond paste or marzipan, prepacked",Blanc d'oeuf,0.07,0.28,0.02,0.05,1.08,0.08,0.01,0.05,0.09,2.28,29.10,12.68,0.58,2.53,0.43
15201,15201,"Pâte d'amande, préemballée","fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"Almond paste or marzipan, prepacked",Sucre blanc,0.05,0.21,0.02,0.01,0.82,0.04,0.01,0.03,0.06,2.03,12.28,9.43,0.85,2.17,0.50
15201,15201,"Pâte d'amande, préemballée","fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"Almond paste or marzipan, prepacked",Autres étapes,0.07,0.57,0.10,0.67,1.42,0.03,0.00,0.01,0.10,1.19,5.33,6.23,0.44,21.88,0.89
11167,11167,"Sauce américaine, préemballée",aides culinaires et ingrédients divers,sauces,"American-style sauce, prepacked",Beurre,0.32,4.30,0.13,0.14,6.93,0.24,0.03,0.13,0.53,10.63,137.02,26.73,2.80,12.62,4.79
11167,11167,"Sauce américaine, préemballée",aides culinaires et ingrédients divers,sauces,"American-style sauce, prepacked",Huile de poisson,0.07,0.66,0.11,0.03,5.97,0.07,0.01,0.02,0.07,2.05,2.30,6.19,0.32,9.41,0.44
11167,11167,"Sauce américaine, préemballée",aides culinaires et ingrédients divers,sauces,"American-style sauce, prepacked",Farine de blé,0.02,0.11,0.01,0.02,0.48,0.02,0.00,0.01,0.04,1.71,22.44,5.99,0.06,0.96,0.21
11167,11167,"Sauce américaine, préemballée",aides culinaires et ingrédients divers,sauces,"American-style sauce, prepacked",Autres étapes,0.08,0.57,0.13,0.75,1.69,0.02,0.00,0.01,0.09,1.30,4.53,11.43,0.76,22.63,1.28
26000,26000,"Anchois, filets à l'huile, semi-conserve, égoutté","viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchovy, fillets, in oil, semi-preserved, drained",Anchois,0.11,0.73,0.17,0.05,11.21,0.11,0.02,0.04,0.08,3.90,3.28,7.41,0.07,10.24,6.61
26000,26000,"Anchois, filets à l'huile, semi-conserve, égoutté","viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchovy, fillets, in oil, semi-preserved, drained",Sel,0.02,0.15,0.01,0.02,0.57,0.01,0.00,0.00,0.11,0.25,0.99,4.96,0.08,1.82,2.49
26000,26000,"Anchois, filets à l'huile, semi-conserve, égoutté","viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchovy, fillets, in oil, semi-preserved, drained",Huile de tournesol,0.05,0.44,0.04,0.03,1.52,0.03,0.00,0.02,0.10,4.84,47.56,17.69,0.05,2.77,1.62
26000,26000,"Anchois, filets à l'huile, semi-conserve, égoutté","viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchovy, fillets, in oil, semi-preserved, drained",Autres étapes,0.07,0.65,0.12,0.67,1.64,0.03,0.00,0.01,0.07,1.23,4.18,6.66,0.36,21.84,1.17
25999,25999,"Anchois, filets roulés aux câpres, semi-conserve, égoutté","viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchovy, fillets, rolled with capers, semi-preserved, drained",Anchois,0.11,0.73,0.17,0.05,11.21,0.11,0.02,0.04,0.08,3.90,3.28,7.41,0.07,10.24,6.61
25999,25999,"Anchois, filets roulés aux câpres, semi-conserve, égoutté","viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchovy, fillets, rolled with capers, semi-preserved, drained",Sel,0.02,0.15,0.01,0.02,0.57,0.01,0.00,0.00,0.11,0.25,0.99,4.96,0.08,1.82,2.49
25999,25999,"Anchois, filets roulés aux câpres, semi-conserve, égoutté","viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchovy, fillets, rolled with capers, semi-preserved, drained",Huile de tournesol,0.05,0.44,0.04,0.03,1.52,0.03,0.00,0.02,0.10,4.84,47.56,17.69,0.05,2.77,1.62
25999,25999,"Anchois, filets roulés aux câpres, semi-conserve, égoutté","viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchovy, fillets, rolled with capers, semi-preserved, drained",Autres étapes,0.07,0.65,0.12,0.67,1.64,0.03,0.00,0.01,0.07,1.23,4.18,6.66,0.36,21.84,1.17
13038,13038,Compote de pomme,"fruits, légumes, légumineuses et oléagineux",fruits,Apple compote,Pomme de table,0.03,0.09,0.02,0.02,0.65,0.01,0.00,0.00,0.02,0.35,1.59,9.42,1.58,1.43,1.02
13038,13038,Compote de pomme,"fruits, légumes, légumineuses et oléagineux",fruits,Apple compote,Sucre blanc,0.02,0.08,0.01,0.01,0.31,0.02,0.00,0.01,0.02,0.78,4.72,3.62,0.32,0.83,0.19
13038,13038,Compote de pomme,"fruits, légumes, légumineuses et oléagineux",fruits,Apple compote,Autres étapes,0.07,0.65,0.12,0.67,1.64,0.03,0.00,0.01,0.07,1.23,4.18,6.67,0.36,21.84,1.17
23493,23493,Crumble aux pommes,produits céréaliers,gâteaux et pâtisseries,Apple crumble,Beurre,0.16,2.12,0.06,0.07,3.41,0.12,0.02,0.06,0.26,5.23,67.45,13.16,1.38,6.21,2.36
23493,23493,Crumble aux pommes,produits céréaliers,gâteaux et pâtisseries,Apple crumble,Pomme de table,0.02,0.07,0.02,0.01,0.52,0.00,0.00,0.00,0.02,0.28,1.28,7.57,1.27,1.15,0.82
23493,23493,Crumble aux pommes,produits céréaliers,gâteaux et pâtisseries,Apple crumble,Farine de blé,0.01,0.07,0.01,0.01,0.29,0.01,0.00,0.01,0.02,1.05,13.83,3.69,0.04,0.59,0.13
23493,23493,Crumble aux pommes,produits céréaliers,gâteaux et pâtisseries,Apple crumble,Sucre blanc,0.02,0.09,0.01,0.01,0.36,0.02,0.00,0.01,0.03,0.90,5.43,4.17,0.37,0.96,0.22
23493,23493,Crumble aux pommes,produits céréaliers,gâteaux et pâtisseries,Apple crumble,Autres étapes,0.07,0.59,0.10,0.65,1.33,0.02,0.00,0.01,0.06,1.15,4.21,6.08,0.40,21.12,0.80
23481,23481,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)",produits céréaliers,gâteaux et pâtisseries,"Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Amande,0.21,0.54,0.04,0.04,2.81,0.06,0.01,0.03,0.24,2.81,37.77,29.19,15.92,6.69,4.78
23481,23481,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)",produits céréaliers,gâteaux et pâtisseries,"Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Beurre,0.18,2.45,0.07,0.08,3.95,0.13,0.02,0.07,0.30,6.06,78.12,15.24,1.60,7.19,2.73
23481,23481,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)",produits céréaliers,gâteaux et pâtisseries,"Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Œuf de poule,0.03,0.14,0.01,0.02,0.54,0.04,0.01,0.03,0.04,1.14,14.51,6.32,0.29,1.26,0.21
23481,23481,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)",produits céréaliers,gâteaux et pâtisseries,"Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Fromage frais crémeux,0.04,0.45,0.03,0.01,0.87,0.03,0.00,0.01,0.09,1.99,18.33,11.46,0.31,2.05,1.21
23481,23481,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)",produits céréaliers,gâteaux et pâtisseries,"Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Poire,0.02,0.04,0.01,0.01,0.26,0.00,0.00,0.00,0.01,0.20,1.59,6.63,2.15,0.71,0.22
23481,23481,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)",produits céréaliers,gâteaux et pâtisseries,"Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Farine de blé,0.01,0.06,0.01,0.01,0.25,0.01,0.00,0.01,0.02,0.89,11.74,3.13,0.03,0.50,0.11
23481,23481,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)",produits céréaliers,gâteaux et pâtisseries,"Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Sucre blanc,0.02,0.07,0.01,0.00,0.27,0.01,0.00,0.01,0.02,0.68,4.11,3.15,0.28,0.72,0.17
23481,23481,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)",produits céréaliers,gâteaux et pâtisseries,"Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Autres étapes,0.07,0.59,0.10,0.65,1.33,0.02,0.00,0.01,0.06,1.15,4.21,6.08,0.40,21.12,0.80
23490,23490,Tarte ou tartelette aux pommes,produits céréaliers,gâteaux et pâtisseries,Apple tart,Beurre,0.14,1.83,0.05,0.06,2.95,0.10,0.01,0.06,0.23,4.53,58.42,11.39,1.19,5.38,2.04
23490,23490,Tarte ou tartelette aux pommes,produits céréaliers,gâteaux et pâtisseries,Apple tart,Pomme de table,0.02,0.08,0.02,0.01,0.57,0.00,0.00,0.00,0.02,0.31,1.41,8.34,1.40,1.27,0.90
23490,23490,Tarte ou tartelette aux pommes,produits céréaliers,gâteaux et pâtisseries,Apple tart,Farine de blé,0.01,0.06,0.01,0.01,0.25,0.01,0.00,0.01,0.02,0.91,12.00,3.20,0.03,0.51,0.11
23490,23490,Tarte ou tartelette aux pommes,produits céréaliers,gâteaux et pâtisseries,Apple tart,Sucre blanc,0.01,0.04,0.00,0.00,0.15,0.01,0.00,0.01,0.01,0.38,2.33,1.79,0.16,0.41,0.10
23490,23490,Tarte ou tartelette aux pommes,produits céréaliers,gâteaux et pâtisseries,Apple tart,Autres étapes,0.07,0.59,0.10,0.65,1.33,0.02,0.00,0.01,0.06,1.15,4.22,6.08,0.41,21.13,0.80
23480,23480,Chausson aux pommes,produits céréaliers,pains et viennoiseries,Apple turnover,Beurre,0.20,2.77,0.08,0.09,4.46,0.15,0.02,0.08,0.34,6.84,88.16,17.20,1.80,8.12,3.08
23480,23480,Chausson aux pommes,produits céréaliers,pains et viennoiseries,Apple turnover,Pomme de table,0.02,0.07,0.02,0.01,0.49,0.00,0.00,0.00,0.02,0.27,1.21,7.16,1.20,1.09,0.78
23480,23480,Chausson aux pommes,produits céréaliers,pains et viennoiseries,Apple turnover,Farine de blé,0.01,0.06,0.01,0.01,0.28,0.01,0.00,0.01,0.02,1.02,13.40,3.58,0.04,0.57,0.13
23480,23480,Chausson aux pommes,produits céréaliers,pains et viennoiseries,Apple turnover,Sucre blanc,0.01,0.04,0.00,0.00,0.16,0.01,0.00,0.01,0.01,0.41,2.47,1.89,0.17,0.44,0.10
23480,23480,Chausson aux pommes,produits céréaliers,pains et viennoiseries,Apple turnover,Autres étapes,0.06,0.56,0.08,0.50,1.28,0.02,0.00,0.01,0.05,1.12,4.13,5.25,0.33,17.82,0.66
23494,23494,Tarte aux abricots,produits céréaliers,gâteaux et pâtisseries,Apricots tart,Abricot,0.05,0.17,0.02,0.03,1.20,0.03,0.00,0.02,0.08,0.38,28.64,26.53,0.73,2.40,0.98
23494,23494,Tarte aux abricots,produits céréaliers,gâteaux et pâtisseries,Apricots tart,Beurre,0.13,1.82,0.05,0.06,2.93,0.10,0.01,0.05,0.23,4.49,57.89,11.29,1.18,5.33,2.02
23494,23494,Tarte aux abricots,produits céréaliers,gâteaux et pâtisseries,Apricots tart,Farine de blé,0.01,0.06,0.01,0.01,0.25,0.01,0.00,0.01,0.02,0.91,11.92,3.18,0.03,0.51,0.11
23494,23494,Tarte aux abricots,produits céréaliers,gâteaux et pâtisseries,Apricots tart,Sucre blanc,0.01,0.04,0.00,0.00,0.17,0.01,0.00,0.01,0.01,0.41,2.49,1.91,0.17,0.44,0.10
23494,23494,Tarte aux abricots,produits céréaliers,gâteaux et pâtisseries,Apricots tart,Autres étapes,0.07,0.59,0.10,0.65,1.33,0.02,0.00,0.01,0.06,1.15,4.22,6.08,0.41,21.13,0.80
11111,11111,"Sauce armoricaine, préemballée",aides culinaires et ingrédients divers,sauces,"Armorican-style sauce, prepacked",Beurre,0.32,4.30,0.13,0.14,6.93,0.24,0.03,0.13,0.53,10.63,137.02,26.73,2.80,12.62,4.79
11111,11111,"Sauce armoricaine, préemballée",aides culinaires et ingrédients divers,sauces,"Armorican-style sauce, prepacked",Huile de poisson,0.07,0.66,0.11,0.03,5.97,0.07,0.01,0.02,0.07,2.05,2.30,6.19,0.32,9.41,0.44
11111,11111,"Sauce armoricaine, préemballée",aides culinaires et ingrédients divers,sauces,"Armorican-style sauce, prepacked",Farine de blé,0.02,0.11,0.01,0.02,0.48,0.02,0.00,0.01,0.04,1.71,22.44,5.99,0.06,0.96,0.21
11111,11111,"Sauce armoricaine, préemballée",aides culinaires et ingrédients divers,sauces,"Armorican-style sauce, prepacked",Autres étapes,0.08,0.58,0.13,0.83,1.72,0.03,0.00,0.01,0.10,1.31,4.57,11.85,0.78,24.29,1.35
11172,11172,"Court-bouillon pour poissons, déshydraté",aides culinaires et ingrédients divers,aides culinaires,"Aromatic stock cube, for fish, dehydrated",Carotte,0.06,0.17,0.03,0.05,0.77,0.02,0.00,0.01,0.06,1.54,11.01,36.62,2.62,2.89,2.53
11172,11172,"Court-bouillon pour poissons, déshydraté",aides culinaires et ingrédients divers,aides culinaires,"Aromatic stock cube, for fish, dehydrated",Poireau,0.09,0.48,0.05,0.06,2.23,0.06,0.01,0.03,0.05,2.37,12.85,26.18,1.78,4.24,1.67
11172,11172,"Court-bouillon pour poissons, déshydraté",aides culinaires et ingrédients divers,aides culinaires,"Aromatic stock cube, for fish, dehydrated",Oignons,0.05,0.17,0.03,0.05,0.90,0.01,0.00,0.01,0.07,2.38,18.84,14.68,3.14,2.81,1.08
11172,11172,"Court-bouillon pour poissons, déshydraté",aides culinaires et ingrédients divers,aides culinaires,"Aromatic stock cube, for fish, dehydrated",Autres étapes,2.00,7.27,3.15,33.39,19.62,0.47,0.05,0.14,2.35,22.65,67.51,216.67,7.77,742.56,17.68
9085,9085,"Nouilles asiatiques cuites, aromatisées",produits céréaliers,"pâtes, riz et céréales","Asian noodles, flavoured, cooked",Œuf de poule,0.09,0.38,0.03,0.06,1.47,0.11,0.02,0.07,0.12,3.10,39.60,17.26,0.79,3.44,0.59
9085,9085,"Nouilles asiatiques cuites, aromatisées",produits céréaliers,"pâtes, riz et céréales","Asian noodles, flavoured, cooked",Farine de blé,0.04,0.21,0.02,0.04,0.93,0.03,0.00,0.02,0.08,3.34,43.92,11.73,0.12,1.87,0.41
9085,9085,"Nouilles asiatiques cuites, aromatisées",produits céréaliers,"pâtes, riz et céréales","Asian noodles, flavoured, cooked",Autres étapes,0.08,0.58,0.13,0.80,1.53,0.02,0.00,0.01,0.09,1.23,4.31,6.93,0.29,24.07,1.29
9863,9863,"Nouilles asiatiques aromatisées, déshydratées",produits céréaliers,"pâtes, riz et céréales","Asian noodles, flavoured, dehydrated",Œuf de poule,1.68,6.95,0.59,1.16,26.63,1.97,0.29,1.24,2.19,56.08,716.54,312.35,14.25,62.25,10.60
9863,9863,"Nouilles asiatiques aromatisées, déshydratées",produits céréaliers,"pâtes, riz et céréales","Asian noodles, flavoured, dehydrated",Farine de blé,0.75,3.84,0.35,0.64,16.86,0.56,0.09,0.38,1.36,60.43,794.75,212.16,2.25,33.88,7.49
9863,9863,"Nouilles asiatiques aromatisées, déshydratées",produits céréaliers,"pâtes, riz et céréales","Asian noodles, flavoured, dehydrated",Autres étapes,1.74,5.22,2.96,31.67,13.46,0.31,0.04,0.11,1.63,19.69,61.86,158.62,6.91,692.78,12.09
9086,9086,"Nouilles asiatiques cuites, nature, non salées",produits céréaliers,"pâtes, riz et céréales","Asian noodles, plain, cooked, unsalted",Œuf de poule,0.09,0.38,0.03,0.06,1.47,0.11,0.02,0.07,0.12,3.10,39.60,17.26,0.79,3.44,0.59
9086,9086,"Nouilles asiatiques cuites, nature, non salées",produits céréaliers,"pâtes, riz et céréales","Asian noodles, plain, cooked, unsalted",Farine de blé,0.04,0.21,0.02,0.04,0.93,0.03,0.00,0.02,0.08,3.34,43.92,11.73,0.12,1.87,0.41
9086,9086,"Nouilles asiatiques cuites, nature, non salées",produits céréaliers,"pâtes, riz et céréales","Asian noodles, plain, cooked, unsalted",Autres étapes,0.08,0.58,0.13,0.80,1.53,0.02,0.00,0.01,0.09,1.23,4.31,6.93,0.29,24.07,1.29
13157,13157,Petit pot fruit avec banane pour bébé,aliments infantiles,desserts infantiles,Baby food jar with banana,Pomme de table,0.03,0.09,0.02,0.02,0.68,0.01,0.00,0.00,0.02,0.37,1.68,9.94,1.67,1.51,1.08
13157,13157,Petit pot fruit avec banane pour bébé,aliments infantiles,desserts infantiles,Baby food jar with banana,Sucre blanc,0.02,0.09,0.01,0.01,0.33,0.02,0.00,0.01,0.03,0.82,4.98,3.82,0.34,0.88,0.20
13157,13157,Petit pot fruit avec banane pour bébé,aliments infantiles,desserts infantiles,Baby food jar with banana,Autres étapes,0.07,0.50,0.10,0.71,1.19,0.02,0.00,0.01,0.08,1.14,4.32,5.95,0.31,21.72,0.85
20247,20247,"Petit pot légumes, avec féculent, dès 4/6 mois",aliments infantiles,petits pots salés et plats infantiles,"Baby food jar with vegetables and starch, from 4-6 months",Beurre,0.02,0.33,0.01,0.01,0.54,0.02,0.00,0.01,0.04,0.82,10.62,2.07,0.22,0.98,0.37
20247,20247,"Petit pot légumes, avec féculent, dès 4/6 mois",aliments infantiles,petits pots salés et plats infantiles,"Baby food jar with vegetables and starch, from 4-6 months",Carotte,0.04,0.11,0.02,0.03,0.49,0.01,0.00,0.00,0.04,0.97,6.98,23.21,1.66,1.83,1.60
20247,20247,"Petit pot légumes, avec féculent, dès 4/6 mois",aliments infantiles,petits pots salés et plats infantiles,"Baby food jar with vegetables and starch, from 4-6 months",Fromage frais crémeux,0.01,0.11,0.01,0.00,0.21,0.01,0.00,0.00,0.02,0.48,4.40,2.75,0.07,0.49,0.29
20247,20247,"Petit pot légumes, avec féculent, dès 4/6 mois",aliments infantiles,petits pots salés et plats infantiles,"Baby food jar with vegetables and starch, from 4-6 months",Navet,0.01,0.03,0.00,0.01,0.11,0.00,0.00,0.00,0.01,0.22,1.61,5.35,0.38,0.42,0.37
20247,20247,"Petit pot légumes, avec féculent, dès 4/6 mois",aliments infantiles,petits pots salés et plats infantiles,"Baby food jar with vegetables and starch, from 4-6 months",Courgette,0.01,0.04,0.01,0.00,0.30,0.00,0.00,0.00,0.01,0.30,1.37,1.68,0.08,0.50,0.25
20247,20247,"Petit pot légumes, avec féculent, dès 4/6 mois",aliments infantiles,petits pots salés et plats infantiles,"Baby food jar with vegetables and starch, from 4-6 months",Autres étapes,0.07,0.51,0.11,0.79,1.22,0.02,0.00,0.01,0.09,1.15,4.36,6.37,0.32,23.39,0.92
20246,20246,"Petit pot légumes, dès 4-6 mois",aliments infantiles,petits pots salés et plats infantiles,"Baby food jar with vegetables, from 4-6 months",Beurre,0.02,0.33,0.01,0.01,0.54,0.02,0.00,0.01,0.04,0.82,10.62,2.07,0.22,0.98,0.37
20246,20246,"Petit pot légumes, dès 4-6 mois",aliments infantiles,petits pots salés et plats infantiles,"Baby food jar with vegetables, from 4-6 months",Carotte,0.04,0.11,0.02,0.03,0.49,0.01,0.00,0.00,0.04,0.97,6.98,23.21,1.66,1.83,1.60
20246,20246,"Petit pot légumes, dès 4-6 mois",aliments infantiles,petits pots salés et plats infantiles,"Baby food jar with vegetables, from 4-6 months",Fromage frais crémeux,0.01,0.11,0.01,0.00,0.21,0.01,0.00,0.00,0.02,0.48,4.40,2.75,0.07,0.49,0.29
20246,20246,"Petit pot légumes, dès 4-6 mois",aliments infantiles,petits pots salés et plats infantiles,"Baby food jar with vegetables, from 4-6 months",Navet,0.01,0.03,0.00,0.01,0.11,0.00,0.00,0.00,0.01,0.22,1.61,5.35,0.38,0.42,0.37
20246,20246,"Petit pot légumes, dès 4-6 mois",aliments infantiles,petits pots salés et plats infantiles,"Baby food jar with vegetables, from 4-6 months",Courgette,0.01,0.04,0.01,0.00,0.30,0.00,0.00,0.00,0.01,0.30,1.37,1.68,0.08,0.50,0.25
20246,20246,"Petit pot légumes, dès 4-6 mois",aliments infantiles,petits pots salés et plats infantiles,"Baby food jar with vegetables, from 4-6 months",Autres étapes,0.07,0.51,0.11,0.79,1.22,0.02,0.00,0.01,0.09,1.15,4.36,6.37,0.32,23.39,0.92
13158,13158,Petit pot fruit sans banane pour bébé,aliments infantiles,desserts infantiles,Baby food jar without banana,Pomme de table,0.03,0.09,0.02,0.02,0.68,0.01,0.00,0.00,0.02,0.37,1.68,9.94,1.67,1.51,1.08
13158,13158,Petit pot fruit sans banane pour bébé,aliments infantiles,desserts infantiles,Baby food jar without banana,Sucre blanc,0.02,0.09,0.01,0.01,0.33,0.02,0.00,0.01,0.03,0.82,4.98,3.82,0.34,0.88,0.20
13158,13158,Petit pot fruit sans banane pour bébé,aliments infantiles,desserts infantiles,Baby food jar without banana,Autres étapes,0.07,0.50,0.10,0.71,1.19,0.02,0.00,0.01,0.08,1.14,4.32,5.95,0.31,21.72,0.85
7258,7258,Bagel,produits céréaliers,pains et viennoiseries,Bagel,Blanc d'oeuf,0.02,0.07,0.01,0.01,0.26,0.02,0.00,0.01,0.02,0.56,7.13,3.11,0.14,0.62,0.11
7258,7258,Bagel,produits céréaliers,pains et viennoiseries,Bagel,Huile d'olive,0.02,0.05,0.01,0.00,0.41,0.01,0.00,0.00,0.02,0.37,0.30,18.42,0.37,0.48,0.18
7258,7258,Bagel,produits céréaliers,pains et viennoiseries,Bagel,Farine de blé,0.05,0.25,0.02,0.04,1.11,0.04,0.01,0.03,0.09,3.99,52.54,14.03,0.15,2.24,0.49
7258,7258,Bagel,produits céréaliers,pains et viennoiseries,Bagel,Sucre blanc,0.00,0.02,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.15,0.88,0.68,0.06,0.16,0.04
7258,7258,Bagel,produits céréaliers,pains et viennoiseries,Bagel,Autres étapes,0.06,0.36,0.09,0.53,1.12,0.03,0.00,0.01,0.12,1.17,30.10,16.08,0.42,14.87,0.82
39518,39518,Omelette norvégienne,glaces et sorbets,desserts glacés,baked Alaska,Jaune d'œuf,0.03,0.14,0.01,0.02,0.52,0.04,0.01,0.02,0.04,1.10,14.10,6.15,0.28,1.22,0.21
39518,39518,Omelette norvégienne,glaces et sorbets,desserts glacés,baked Alaska,Fromage frais crémeux,0.10,1.03,0.06,0.03,1.98,0.06,0.01,0.03,0.20,4.54,41.83,26.14,0.71,4.69,2.76
39518,39518,Omelette norvégienne,glaces et sorbets,desserts glacés,baked Alaska,Lait demi-écremé,0.05,0.54,0.01,0.03,0.82,0.04,0.01,0.03,0.05,1.75,30.06,7.88,0.17,1.38,0.29
39518,39518,Omelette norvégienne,glaces et sorbets,desserts glacés,baked Alaska,Sucre blanc,0.02,0.08,0.01,0.01,0.32,0.02,0.00,0.01,0.03,0.79,4.80,3.69,0.33,0.85,0.20
39518,39518,Omelette norvégienne,glaces et sorbets,desserts glacés,baked Alaska,Autres étapes,0.08,0.59,0.14,0.97,1.53,0.02,0.00,0.01,0.10,1.20,4.23,7.65,0.31,27.27,1.42
23300,23300,Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop),produits céréaliers,gâteaux et pâtisseries,Baklava (oriental pastry with almonds and syrup),Amande,0.60,1.57,0.12,0.12,8.18,0.17,0.02,0.08,0.70,8.17,109.85,84.89,46.30,19.46,13.89
23300,23300,Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop),produits céréaliers,gâteaux et pâtisseries,Baklava (oriental pastry with almonds and syrup),Beurre,0.14,1.92,0.06,0.06,3.09,0.11,0.01,0.06,0.24,4.74,61.08,11.91,1.25,5.62,2.14
