Code AGB,Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,code saison (0 : hors saison ; 1 : de saison ; 2 : mix de consommation FR),code avion (1 : par avion),Livraison,Matériau d'emballage,Préparation,DQR - Note de qualité de la donnée (1 excellente ; 5 très faible),Score unique EF (mPt/kg de produit),Changement climatique (kg CO2 eq/kg de produit),Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),Rayonnements ionisants (kBq U-235 eq/kg de produit),Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),Particules (E-06 disease inc./kg de produit),Acidification terrestre et eaux douces (mol H+ eq/kg de produit),Eutrophisation terreste (mol N eq/kg de produit),Eutrophisation eaux douces (E-03 kg P eq/kg de produit),Eutrophisation marine (E-03 kg N eq/kg de produit),Utilisation du sol (Pt/kg de produit),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),Épuisement des ressources eau (m3 depriv./kg de produit),Épuisement des ressources énergétiques (MJ/kg de produit),Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit)
13712,13712,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot au sirop léger, appertisé, égoutté","Apricot, canned in light syrup, drained",2,0,Ambiant (moyenne),Acier,Pas de préparation ,2.46,0.22,1.22,0.25,1.82,4.66,0.10,0.01,0.03,0.41,1.50,44.82,62.20,1.63,47.24,2.94
13713,13713,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot au sirop léger, appertisé, non égoutté","Apricot, canned in light syrup, not drained",2,0,Ambiant (moyenne),Acier,Pas de préparation ,2.46,0.13,0.61,0.15,1.14,2.78,0.06,0.01,0.02,0.24,0.80,27.90,36.29,1.01,29.40,1.82
13714,13714,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot au sirop, appertisé, égoutté","Apricot, in syrup, canned, drained",2,0,Ambiant (moyenne),Acier,Pas de préparation ,2.46,0.22,1.22,0.25,1.82,4.66,0.10,0.01,0.03,0.41,1.50,44.82,62.20,1.63,47.24,2.94
13715,13715,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot au sirop, appertisé, non égoutté","Apricot, in syrup, canned, not drained",2,0,Ambiant (moyenne),Acier,Pas de préparation,2.44,0.13,0.61,0.15,1.14,2.78,0.06,0.01,0.02,0.24,0.80,27.90,36.29,1.01,29.40,1.82
13000,13000,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot, dénoyauté, cru","Apricot, pitted, raw",2,0,Ambiant (moyenne),LPDE,Pas de préparation,2.20,0.12,0.86,0.09,0.30,3.07,0.06,0.01,0.03,0.20,0.94,43.84,41.96,1.41,17.12,2.17
13001,13001,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot, dénoyauté, sec","Apricot, pitted, dried",2,0,Ambiant (moyenne),LPDE,Pas de préparation,2.64,0.80,2.65,0.86,7.67,14.12,0.32,0.04,0.16,1.04,4.96,248.63,260.49,7.72,184.62,11.02
25433,25433,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,Accra de poisson,"Caribbean-style fish fritters, fish acras",2,0,Glacé,PS,Four,3.14,0.91,5.25,1.13,1.63,89.97,0.98,0.14,0.39,0.46,35.69,66.20,63.21,2.09,96.61,9.97
11084,11084,aides culinaires et ingrédients divers,algues,"Agar (algue), cru","Seaweed, agar, raw",2,0,Ambiant (long),LPDE,Pas de préparation,2.99,1.25,6.55,1.89,12.26,34.82,0.70,0.10,0.12,2.24,11.71,21.75,157.99,4.93,341.43,30.23
21508,21508,"viandes, œufs, poissons",viandes cuites,"Agneau, collier, braisé ou bouilli","Lamb, neck, braised or boiled",2,0,Glacé,PS,Four,2.65,6.09,62.69,1.29,2.36,86.97,6.37,0.95,4.20,3.22,198.62,5535.06,481.60,15.54,129.24,22.66
21514,21514,"viandes, œufs, poissons",viandes crues,"Agneau, collier, cru","Lamb, neck, raw",2,0,Glacé,PS,Pas de préparation,2.63,4.79,49.58,0.98,1.38,68.71,5.04,0.75,3.32,2.52,157.15,4381.34,378.68,12.20,92.03,17.50
21516,21516,"viandes, œufs, poissons",viandes crues,"Agneau, côte filet, crue","Lamb, chop fillet, raw",2,0,Glacé,PS,Pas de préparation,2.63,4.79,49.58,0.98,1.38,68.71,5.04,0.75,3.32,2.52,157.15,4381.34,378.68,12.20,92.03,17.50
21509,21509,"viandes, œufs, poissons",viandes cuites,"Agneau, côte filet, grillée/poêlée","Lamb, chop fillet, grilled/pan-fried",2,0,Glacé,PS,Poêle,2.65,6.07,62.73,1.25,1.84,86.97,6.37,0.95,4.20,3.19,198.84,5537.69,480.24,15.44,119.31,22.31
21517,21517,"viandes, œufs, poissons",viandes crues,"Agneau, côte première, crue","Lamb, rib chop, raw",2,0,Glacé,PS,Pas de préparation,2.63,4.79,49.58,0.98,1.38,68.71,5.04,0.75,3.32,2.52,157.15,4381.34,378.68,12.20,92.03,17.50
21512,21512,"viandes, œufs, poissons",viandes cuites,"Agneau, côte première, grillée/poêlée","Lamb, rib chop, grilled/pan-fried",2,0,Glacé,PS,Poêle,2.65,6.07,62.73,1.25,1.84,86.97,6.37,0.95,4.20,3.19,198.84,5537.69,480.24,15.44,119.31,22.31
21500,21500,"viandes, œufs, poissons",viandes crues,"Agneau, côtelette, crue","Lamb, cutlet, raw",2,0,Glacé,PS,Pas de préparation,2.63,3.83,39.58,0.78,1.11,54.90,4.03,0.60,2.66,2.00,125.65,3505.03,301.60,9.76,73.58,14.00
21501,21501,"viandes, œufs, poissons",viandes cuites,"Agneau, côtelette, grillée","Lamb cutlet, grilled",2,0,Glacé,PS,Poêle,2.65,4.85,50.10,1.01,1.49,69.53,5.10,0.76,3.36,2.54,159.04,4430.69,382.88,12.35,96.00,17.88
21504,21504,"viandes, œufs, poissons",viandes crues,"Agneau, épaule, crue","Lamb, shoulder, raw",2,0,Glacé,PS,Pas de préparation,2.63,3.83,39.58,0.78,1.11,54.90,4.03,0.60,2.66,2.00,125.65,3505.03,301.60,9.76,73.58,14.00
21505,21505,"viandes, œufs, poissons",viandes crues,"Agneau, épaule, maigre, crue","Lamb, shoulder, lean, raw",2,0,Glacé,PS,Pas de préparation,2.63,3.83,39.58,0.78,1.11,54.90,4.03,0.60,2.66,2.00,125.65,3505.03,301.60,9.76,73.58,14.00
21507,21507,"viandes, œufs, poissons",viandes cuites,"Agneau, épaule, maigre, rôtie/cuite au four","Lamb, shoulder, lean, roasted/baked",2,0,Glacé,PS,Four,2.65,4.87,50.07,1.04,2.01,69.53,5.10,0.76,3.36,2.57,158.82,4428.06,384.23,12.45,105.94,18.23
21506,21506,"viandes, œufs, poissons",viandes cuites,"Agneau, épaule, rôtie/cuite au four","Lamb, shoulder, roasted/baked",2,0,Glacé,PS,Four,2.65,4.87,50.07,1.04,2.01,69.53,5.10,0.76,3.36,2.57,158.82,4428.06,384.23,12.45,105.94,18.23
21519,21519,"viandes, œufs, poissons",viandes cuites,"Agneau, gigot, braisé","Lamb, leg, braised",2,0,Glacé,PS,Four,2.65,6.09,62.69,1.29,2.36,86.97,6.37,0.95,4.20,3.22,198.62,5535.06,481.60,15.54,129.24,22.66
21502,21502,"viandes, œufs, poissons",viandes crues,"Agneau, gigot, cru","Lamb, leg, raw",2,0,Glacé,PS,Pas de préparation,2.63,4.79,49.58,0.98,1.38,68.71,5.04,0.75,3.32,2.52,157.15,4381.34,378.68,12.20,92.03,17.50
21518,21518,"viandes, œufs, poissons",viandes cuites,"Agneau, gigot, grillé/poêlé","Lamb, leg, grilled/pan-fried",2,0,Glacé,PS,Poêle,2.65,6.07,62.73,1.25,1.84,86.97,6.37,0.95,4.20,3.19,198.84,5537.69,480.24,15.44,119.31,22.31
21503,21503,"viandes, œufs, poissons",viandes cuites,"Agneau, gigot, rôti/cuit au four","Lamb, leg, roasted/baked",2,0,Glacé,PS,Four,2.65,6.09,62.69,1.29,2.36,86.97,6.37,0.95,4.20,3.22,198.62,5535.06,481.60,15.54,129.24,22.66
21515,21515,"viandes, œufs, poissons",viandes crues,"Agneau, selle, crue","Lamb, saddle, raw",2,0,Glacé,PS,Pas de préparation,2.63,4.79,49.58,0.98,1.38,68.71,5.04,0.75,3.32,2.52,157.15,4381.34,378.68,12.20,92.03,17.50
21520,21520,"viandes, œufs, poissons",viandes cuites,"Agneau, selle, partie maigre, grillée/poêlée","Lamb, saddle, grilled/pan-fried",2,0,Glacé,PS,Poêle,2.65,6.07,62.73,1.25,1.84,86.97,6.37,0.95,4.20,3.19,198.84,5537.69,480.24,15.44,119.31,22.31
21513,21513,"viandes, œufs, poissons",viandes cuites,"Agneau, selle, partie maigre, rôtie/cuite au four","Lamb, saddle, lean, roasted/baked",2,0,Glacé,PS,Four,2.65,6.09,62.69,1.29,2.36,86.97,6.37,0.95,4.20,3.22,198.62,5535.06,481.60,15.54,129.24,22.66
11023,11023,aides culinaires et ingrédients divers,herbes,"Ail séché, poudre","Garlic, powder, dried",2,0,Ambiant (long),Verre,Pas de préparation,4.11,0.13,0.82,0.18,0.64,3.06,0.08,0.01,0.01,0.19,2.45,21.18,23.34,2.87,23.09,2.86
11000,11000,aides culinaires et ingrédients divers,herbes,"Ail, cru","Garlic, fresh",2,0,Ambiant (long),Pas d'emballage,Pas de préparation,3.54,0.07,0.37,0.07,0.28,1.05,0.02,0.00,0.00,0.09,2.20,18.74,17.00,3.19,9.00,1.46
1014,1014,boissons,boisson alcoolisées,Alcool pur,Pure alcohol,2,0,Ambiant (moyenne),Verre,Réfrigéré chez le consommateur,3.29,0.12,1.16,0.18,0.32,8.40,0.14,0.01,0.01,0.17,1.21,21.32,17.41,0.27,19.97,2.20
4041,4041,entrées et plats composés,plats composés,Aligot (purée de pomme de terre à la tomme fraîche),Mashed potatoes w fresh tome cheese,2,0,Glacé,PP,Micro onde ,2.26,0.37,4.05,0.26,0.98,7.36,0.25,0.03,0.14,0.54,11.95,155.64,51.82,2.43,35.99,5.19
15000,15000,"fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,Amande (avec peau),"Almond, (with peel)",2,0,Ambiant (long),LPDE,Pas de préparation,3.19,2.09,5.76,0.46,0.69,28.95,0.59,0.08,0.28,2.45,28.15,377.30,293.11,158.40,78.34,48.06
15042,15042,"fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"Amande, grillée, salée","Almond, grilled, salted",2,0,Ambiant (long),LPDE,Pas de préparation,3.68,2.09,5.76,0.46,0.69,28.95,0.59,0.08,0.28,2.45,28.15,377.30,293.11,158.40,78.34,48.06
15041,15041,"fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"Amande, mondée, émondée ou blanchie","Almond, peeled, unpeeled or blanched",2,0,Ambiant (long),LPDE,Pas de préparation,3.68,2.09,5.76,0.46,0.69,28.95,0.59,0.08,0.28,2.45,28.15,377.30,293.11,158.40,78.34,48.06
9345,9345,produits céréaliers,"pâtes, riz et céréales","Amarante, crue","Amaranth, raw",2,0,Ambiant (long),LPDE,Pas de préparation ,3.60,0.13,0.87,0.08,0.27,3.09,0.07,0.01,0.04,0.31,8.06,105.72,15.86,2.10,14.06,1.33
9510,9510,produits céréaliers,farines et pâtes à tarte,Amidon de maïs ou fécule de maïs,Maize/corn starch,2,0,Ambiant (moyenne),Carton,Pas de préparation,3.16,0.17,1.22,0.13,0.24,3.98,0.10,0.01,0.05,0.47,13.43,99.87,32.66,0.34,16.15,7.35
13716,13716,"fruits, légumes, légumineuses et oléagineux",fruits,"Ananas au sirop et jus d'ananas, appertisé, égoutté","Pineapple, in pineapple juice and syrup, canned, drained",2,0,Ambiant (moyenne),Acier,Pas de préparation ,2.93,0.24,1.52,0.29,1.82,6.60,0.09,0.01,0.03,0.43,4.10,32.26,72.49,1.50,50.05,3.29
13717,13717,"fruits, légumes, légumineuses et oléagineux",fruits,"Ananas au sirop et jus d'ananas, appertisé, non égoutté","Pineapple, in pineapple juice and syrup, canned, not drained",2,0,Ambiant (moyenne),Acier,Pas de préparation,2.93,0.14,0.80,0.18,1.13,3.99,0.05,0.01,0.02,0.25,2.42,20.06,42.71,0.93,31.15,2.04
13718,13718,"fruits, légumes, légumineuses et oléagineux",fruits,"Ananas au sirop léger, appertisé, égoutté","Pineapple, in light syrup, canned, drained",2,0,Ambiant (moyenne),Acier,Pas de préparation ,2.93,0.24,1.52,0.29,1.82,6.60,0.09,0.01,0.03,0.43,4.10,32.26,72.49,1.50,50.05,3.29
13719,13719,"fruits, légumes, légumineuses et oléagineux",fruits,"Ananas au sirop léger, appertisé, non égoutté","Pineapple, in light syrup, canned, not drained",2,0,Ambiant (moyenne),Acier,Pas de préparation ,2.93,0.14,0.80,0.18,1.13,3.99,0.05,0.01,0.02,0.25,2.42,20.06,42.71,0.93,31.15,2.04
13002,13002,"fruits, légumes, légumineuses et oléagineux",fruits,"Ananas, pulpe, cru","Pineapple, pulp, raw",2,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.68,0.13,1.15,0.15,0.40,4.28,0.04,0.01,0.02,0.21,3.54,30.54,53.24,1.12,16.92,2.69
26177,26177,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchois au sel (anchoité, semi-conserve)","Anchovy, in salt (semi-preserved)",2,0,Glacé,PS,Pas de préparation,3.78,0.29,2.16,0.45,0.33,26.52,0.26,0.04,0.10,0.22,9.12,8.78,20.36,0.37,34.36,15.77
26079,26079,"viandes, œufs, poissons",poissons crus,"Anchois commun, cru","Common anchovy, raw",2,0,Glacé,PS,Pas de préparation,3.10,0.29,2.16,0.45,0.33,26.52,0.26,0.04,0.10,0.22,9.12,8.78,20.36,0.37,34.36,15.77
26187,26187,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchois commun, mariné","Common anchovy, marinated",2,0,Glacé,PS,Pas de préparation,3.10,0.27,2.02,0.35,0.77,15.49,0.18,0.02,0.07,0.37,10.57,58.08,37.94,0.56,37.27,12.33
26000,26000,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchois, filets à l'huile, semi-conserve, égoutté","Anchovy, fillets, in oil, semi-preserved, drained",2,0,Glacé,PS,Pas de préparation,3.57,0.26,1.97,0.34,0.76,14.94,0.17,0.02,0.07,0.36,10.21,56.00,36.72,0.56,36.66,11.89
25999,25999,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchois, filets roulés aux câpres, semi-conserve, égoutté","Anchovy, fillets, rolled with capers, semi-preserved, drained",2,0,Glacé,PS,Pas de préparation,3.10,0.26,1.97,0.34,0.76,14.94,0.17,0.02,0.07,0.36,10.21,56.00,36.72,0.56,36.66,11.89
8500,8500,"viandes, œufs, poissons",charcuteries,Andouille,Chitterling sausage,2,0,Glacé,PS,Four ,2.82,2.09,16.05,1.04,6.01,31.01,1.94,0.28,1.20,2.12,62.23,973.53,294.08,10.07,179.94,15.27
8501,8501,"viandes, œufs, poissons",charcuteries,Andouille de Guéméné,Chitterling sausage from Guéméné,2,0,Glacé,PS,Four ,2.82,2.09,16.05,1.04,6.01,31.01,1.94,0.28,1.20,2.12,62.23,973.53,294.08,10.07,179.94,15.27
8512,8512,"viandes, œufs, poissons",charcuteries,Andouille de Vire,Chitterling sausage from Vire,2,0,Glacé,PS,Four ,2.82,2.09,16.05,1.04,6.01,31.01,1.94,0.28,1.20,2.12,62.23,973.53,294.08,10.07,179.94,15.27
8504,8504,"viandes, œufs, poissons",charcuteries,"Andouille, réchauffée à la poêle","Chitterling sausage, pan-reheated",2,0,Glacé,PS,Four ,2.82,2.09,16.05,1.04,6.01,31.01,1.94,0.28,1.20,2.12,62.23,973.53,294.08,10.07,179.94,15.27
8552,8552,"viandes, œufs, poissons",charcuteries,"Andouillette de Troyes, crue","Chitterling sausage from Troyes, raw",2,0,Glacé,PS,Pas de préparation,2.81,2.06,15.99,0.99,5.39,30.83,1.93,0.28,1.20,2.08,62.13,973.23,290.85,9.95,166.95,14.72
8550,8550,"viandes, œufs, poissons",charcuteries,"Andouillette, crue","Chitterling sausage, raw",2,0,Glacé,PS,Pas de préparation,2.81,2.06,15.99,0.99,5.39,30.83,1.93,0.28,1.20,2.08,62.13,973.23,290.85,9.95,166.95,14.72
8551,8551,"viandes, œufs, poissons",charcuteries,"Andouillette, sautée/poêlée","Chitterling sausage, sautéed/pan-fried",2,0,Glacé,PS,Four ,2.82,2.09,16.05,1.04,6.01,31.01,1.94,0.28,1.20,2.12,62.23,973.53,294.08,10.07,179.94,15.27
11093,11093,aides culinaires et ingrédients divers,herbes,"Aneth, frais","Dill, fresh",2,0,Ambiant (long),LPDE,Pas de préparation,3.75,0.14,0.95,0.09,0.27,2.86,0.07,0.01,0.03,0.23,4.13,37.28,14.96,5.51,16.42,2.05
20995,20995,aides culinaires et ingrédients divers,algues,"Ao-nori (Enteromorpha sp.), séchée ou déshydratée","Sea lettuce (Enteromorpha sp.), dried or dehydrated",2,0,Ambiant (long),LPDE,Pas de préparation,2.99,1.25,6.55,1.89,12.26,34.82,0.70,0.10,0.12,2.24,11.71,21.75,157.99,4.93,341.43,30.23
1007,1007,boissons,boisson alcoolisées,Apéritif à base de vin ou vermouth,Wine-based aperitif,2,0,Ambiant (moyenne),Verre,Réfrigéré chez le consommateur,2.48,0.17,1.05,0.19,0.38,5.35,0.11,0.01,0.03,0.25,6.21,13.63,93.70,0.55,19.94,3.71
20581,20581,"fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"Arachide, bouillie/cuite à l'eau, salée","Peanut, boiled/cooked in water, w salt",2,0,Ambiant (long),LPDE,Micro onde,3.53,1.28,9.76,0.51,0.75,25.16,0.96,0.14,0.58,3.10,81.86,1079.32,131.65,12.44,65.82,21.02
20067,20067,"fruits, légumes, légumineuses et oléagineux",légumes,"Artichaut, appertisé, égoutté","Artichoke, canned, drained",2,0,Ambiant (moyenne),Acier,Pas de préparation,2.78,0.47,3.28,0.44,1.98,11.63,0.31,0.04,0.17,0.64,22.53,155.43,78.13,1.04,61.22,5.99
20155,20155,"fruits, légumes, légumineuses et oléagineux",légumes,"Artichaut, coeur, appertisé, égoutté","Artichoke, heart, canned, drained",2,0,Ambiant (moyenne),Acier,Pas de préparation,2.78,0.47,3.28,0.44,1.98,11.63,0.31,0.04,0.17,0.64,22.53,155.43,78.13,1.04,61.22,5.99
20052,20052,"fruits, légumes, légumineuses et oléagineux",légumes,"Artichaut, cru","Artichoke, globe, raw",2,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.43,0.40,3.97,0.39,1.23,9.08,0.23,0.03,0.12,0.52,19.77,134.69,60.59,1.00,44.37,6.26
20000,20000,"fruits, légumes, légumineuses et oléagineux",légumes,"Artichaut, cuit","Artichoke, globe, cooked",2,0,Glacé,PP,Cuisson à l'eau,3.08,0.71,3.01,0.49,1.23,13.20,0.13,0.02,0.09,0.75,12.48,8.60,323.85,35.33,56.80,14.45
20156,20156,"fruits, légumes, légumineuses et oléagineux",légumes,"Artichaut, fond, appertisé, égoutté","Artichoke base, canned, drained",2,0,Ambiant (moyenne),Acier,Pas de préparation,2.59,0.21,1.37,0.26,1.87,4.39,0.10,0.01,0.03,0.34,5.13,33.82,29.58,0.70,47.93,2.42
20232,20232,"fruits, légumes, légumineuses et oléagineux",légumes,"Artichaut, fond, surgelé, cru","Artichoke base, frozen, raw",2,0,Congelé,LPDE,Pas de préparation,2.95,0.36,2.60,0.33,1.15,9.11,0.24,0.03,0.14,0.42,18.95,132.37,53.93,0.81,43.01,5.50
20998,20998,aides culinaires et ingrédients divers,algues,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté","North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",2,0,Ambiant (long),LPDE,Pas de préparation,2.99,1.25,6.55,1.89,12.26,34.82,0.70,0.10,0.12,2.24,11.71,21.75,157.99,4.93,341.43,30.23
12761,12761,lait et produits laitiers,fromages,Asiago,"Asiago cheese, from cow's milk",2,0,Glacé,LPDE,Pas de préparation,2.24,0.57,6.27,0.29,0.75,10.56,0.46,0.06,0.27,0.76,19.20,307.32,87.41,2.18,34.66,4.69
20076,20076,"fruits, légumes, légumineuses et oléagineux",légumes,"Asperge, appertisée, égouttée","Asparagus, canned, drained",2,0,Ambiant (moyenne),Acier,Pas de préparation,2.63,0.44,2.31,0.40,2.02,9.07,0.22,0.03,0.10,0.65,15.17,210.68,161.67,4.54,59.55,7.75
20282,20282,"fruits, légumes, légumineuses et oléagineux",légumes,"Asperge, blanche ou violette, pelée, crue","Asparagus, white or purple, peeled, raw",2,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.26,0.28,1.39,0.20,0.42,5.63,0.15,0.02,0.08,0.34,12.31,178.02,120.28,3.50,20.15,5.90
20001,20001,"fruits, légumes, légumineuses et oléagineux",légumes,"Asperge, bouillie/cuite à l'eau","Asparagus, boiled/cooked in water",2,0,Glacé,PP,Bouilli,2.69,0.39,2.25,0.34,1.14,8.15,0.19,0.03,0.10,0.48,14.86,208.80,145.75,4.25,45.30,8.10
20073,20073,"fruits, légumes, légumineuses et oléagineux",légumes,"Asperge, pelée, crue","Asparagus, peeled, raw",2,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.26,0.28,1.39,0.20,0.42,5.63,0.15,0.02,0.08,0.34,12.31,178.02,120.28,3.50,20.15,5.90
20279,20279,"fruits, légumes, légumineuses et oléagineux",légumes,"Asperge, verte, crue","Asparagus, green, raw",2,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.26,0.28,1.39,0.20,0.42,5.63,0.15,0.02,0.08,0.34,12.31,178.02,120.28,3.50,20.15,5.90
20053,20053,"fruits, légumes, légumineuses et oléagineux",légumes,"Aubergine, crue","Eggplant, raw",2,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.53,0.49,5.31,0.19,0.34,21.06,0.34,0.03,0.03,1.74,4.15,20.26,202.42,1.55,47.80,2.86
20002,20002,"fruits, légumes, légumineuses et oléagineux",légumes,"Aubergine, cuite","Eggplant, cooked",2,0,Glacé,PP,Cuisson à l'eau,2.89,0.63,6.72,0.31,0.91,25.91,0.41,0.03,0.04,2.10,5.24,24.36,240.74,1.96,73.58,4.33
13004,13004,"fruits, légumes, légumineuses et oléagineux",légumes,"Avocat, pulpe, cru","Avocado, pulp, raw",2,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.26,0.55,2.75,0.25,0.49,9.36,0.11,0.02,0.05,0.72,13.29,124.82,113.16,34.41,31.71,8.51
9310,9310,produits céréaliers,"pâtes, riz et céréales","Avoine, crue","Oat, raw",2,0,Ambiant (long),LPDE,Pas de préparation ,3.60,0.23,1.22,0.10,0.26,3.74,0.11,0.01,0.06,0.78,53.17,180.69,28.17,0.89,15.56,2.81
23020,23020,produits céréaliers,gâteaux et pâtisseries,"Baba au rhum, préemballé","Rum baba, prepacked",2,0,Ambiant (long),PS,Pas de préparation,2.14,0.12,0.87,0.12,0.69,3.10,0.08,0.01,0.04,0.14,3.20,24.62,16.34,1.03,24.33,1.28
7258,7258,produits céréaliers,pains et viennoiseries,Bagel,Bagel,2,0,Ambiant (court),Papier,Pas de préparation ,1.95,0.15,0.75,0.13,0.59,2.97,0.10,0.01,0.05,0.25,6.24,90.95,52.32,1.14,18.36,1.64
23300,23300,produits céréaliers,gâteaux et pâtisseries,Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop),Baklava (oriental pastry with almonds and syrup),2,0,Ambiant (long),PS,Pas de préparation,2.59,0.88,4.30,0.30,0.86,14.06,0.34,0.05,0.17,1.14,20.69,240.55,134.46,48.74,48.54,17.54
20198,20198,"fruits, légumes, légumineuses et oléagineux",légumes,"Bambou, pousse, crue","Bamboo shoots, raw",2,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.60,0.27,1.37,0.20,0.42,5.56,0.15,0.02,0.08,0.34,12.29,177.90,120.14,3.49,19.94,5.87
20188,20188,"fruits, légumes, légumineuses et oléagineux",légumes,"Bambou, pousses, appertisées, égouttées","Bamboo shoots, canned, drained",2,0,Ambiant (moyenne),Acier,Pas de préparation,2.93,0.44,2.29,0.39,2.01,8.99,0.22,0.03,0.10,0.65,15.15,210.54,161.51,4.54,59.31,7.71
53100,53100,"fruits, légumes, légumineuses et oléagineux",légumes,"Banane plantain, crue","Plantain banana, raw",2,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.60,0.13,0.80,0.11,0.26,3.29,0.06,0.01,0.03,0.16,3.02,17.27,28.94,4.73,12.88,1.69
53101,53101,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Banane plantain, cuite","Plantain banana, cooked",2,0,Glacé,PP,Cuisson à l'eau,3.00,0.26,1.86,0.27,1.05,6.56,0.11,0.01,0.05,0.32,4.88,25.56,46.94,6.93,42.32,3.78
13005,13005,"fruits, légumes, légumineuses et oléagineux",fruits,"Banane, pulpe, crue","Banana, pulp, raw",2,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.46,0.26,1.87,0.20,0.52,5.66,0.12,0.02,0.06,0.35,5.76,32.01,65.59,8.95,24.13,3.22
13089,13089,"fruits, légumes, légumineuses et oléagineux",fruits,"Banane, pulpe, sèche","Banana, pulp, dried",2,0,Ambiant (moyenne),LPDE,Pas de préparation,2.96,1.09,5.09,0.87,4.88,22.69,0.50,0.07,0.27,1.27,22.10,121.91,259.82,35.91,148.85,10.13
26206,26206,"viandes, œufs, poissons",poissons crus,"Bar commun ou loup (Méditerranée), cru, élevage","Mediterranean bass, raw, farmed",2,0,Glacé,PS,Pas de préparation,3.57,1.88,11.94,1.81,1.63,59.36,0.69,0.07,0.24,1.17,547.28,234.04,196.87,2.97,173.81,11.52
26205,26205,"viandes, œufs, poissons",poissons crus,"Bar commun ou loup (Méditerranée), cru, sauvage","Mediterranean bass, raw, wild",2,0,Glacé,PS,Pas de préparation,3.57,1.55,9.14,2.04,0.81,185.38,1.86,0.27,0.71,0.51,64.68,20.93,75.02,0.90,135.01,16.68
26072,26072,"viandes, œufs, poissons",poissons crus,"Bar commun ou loup, cru, sans précision","European bass, raw",2,0,Glacé,PS,Pas de préparation,3.64,1.88,11.94,1.81,1.63,59.36,0.69,0.07,0.24,1.17,547.28,234.04,196.87,2.97,173.81,11.52
27030,27030,"viandes, œufs, poissons",poissons cuits,"Bar commun ou loup, rôti/cuit au four","European bass, roasted/baked",2,0,Glacé,PP,Four,3.52,2.33,14.54,2.27,2.67,72.51,0.85,0.08,0.29,1.49,668.34,286.21,243.44,3.63,225.90,14.67
26075,26075,"viandes, œufs, poissons",poissons crus,"Bar ou loup de l'Atlantique, cru","Atlantic bass, raw",2,0,Glacé,PS,Pas de préparation,3.57,1.88,11.94,1.81,1.63,59.36,0.69,0.07,0.24,1.17,547.28,234.04,196.87,2.97,173.81,11.52
26001,26001,"viandes, œufs, poissons",poissons crus,"Bar rayé ou bar d'Amérique, cru","American bass, raw",2,0,Glacé,PS,Pas de préparation,3.64,1.88,11.94,1.81,1.63,59.36,0.69,0.07,0.24,1.17,547.28,234.04,196.87,2.97,173.81,11.52
31002,31002,produits sucrés,chocolats et produits à base de chocolat,"Barre à la noix de coco, enrobée de chocolat","Coconut bar, with chocolate coating",2,0,Ambiant (moyenne),Carton,Pas de préparation,3.28,0.41,4.73,0.28,0.69,9.03,0.17,0.02,0.09,0.62,16.60,58.83,141.69,5.21,29.39,4.94
24039,24039,produits céréaliers,céréales de petit-déjeuner et biscuits,"Barre biscuitée fourrée aux fruits, allégée en matière grasse","Biscuit bar filled with fruits, reduced fat",2,0,Ambiant (long),Carton,Pas de préparation ,2.92,0.46,3.40,0.82,0.81,7.25,0.29,0.04,0.15,0.59,12.63,144.08,241.91,4.56,31.10,7.75
