Code AGB,Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,code saison (0 : hors saison ; 1 : de saison ; 2 : mix de consommation FR),code avion (1 : par avion),Livraison,Matériau d'emballage,Préparation,DQR - Note de qualité de la donnée (1 excellente ; 5 très faible),Score unique EF (mPt/kg de produit),Changement climatique (kg CO2 eq/kg de produit),Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),Rayonnements ionisants (kBq U-235 eq/kg de produit),Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),Particules (E-06 disease inc./kg de produit),Acidification terrestre et eaux douces (mol H+ eq/kg de produit),Eutrophisation terreste (mol N eq/kg de produit),Eutrophisation eaux douces (E-03 kg P eq/kg de produit),Eutrophisation marine (E-03 kg N eq/kg de produit),Utilisation du sol (Pt/kg de produit),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),Épuisement des ressources eau (m3 depriv./kg de produit),Épuisement des ressources énergétiques (MJ/kg de produit),Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit)
11051,11051,aides culinaires et ingrédients divers,sauces,"Sauce tartare, préemballée","Tartare sauce, prepacked",2,0,Glacé,V (PVC),Pas de préparation,2.58,0.30,2.88,0.28,0.86,7.67,0.17,0.02,0.07,0.52,10.95,96.57,68.25,2.32,34.82,7.20
11114,11114,aides culinaires et ingrédients divers,sauces,"Sauce tomate à la viande ou Sauce bolognaise, préemballée","Tomato sauce, with meat or Bolognese sauce, prepacked",2,0,Glacé,V (PVC),Micro onde ,1.98,1.28,14.67,0.41,1.42,19.97,1.16,0.17,0.76,0.78,38.09,809.25,141.12,4.86,52.72,8.45
11208,11208,aides culinaires et ingrédients divers,sauces,"Sauce tomate au fromage, préemballée","Tomato sauce, w cheese, prepacked",2,0,Glacé,V (PVC),Micro onde ,2.93,0.21,1.28,0.20,0.91,4.22,0.08,0.01,0.04,0.24,3.86,15.59,82.62,3.53,31.26,5.78
11177,11177,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux champignons, préemballée","Tomato sauce, w mushrooms, prepacked",2,0,Glacé,V (PVC),Micro onde ,2.93,0.18,0.95,0.19,0.89,3.73,0.06,0.01,0.03,0.21,2.89,-1.21,78.60,3.61,30.08,5.63
11107,11107,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux oignons, préemballée","Tomato sauce, with onions, prepacked",2,0,Glacé,V (PVC),Micro onde ,2.78,0.18,0.95,0.19,0.89,3.74,0.06,0.01,0.03,0.21,2.90,-1.22,78.59,3.61,30.09,5.63
11178,11178,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux olives, préemballée","Tomato sauce, w olives, prepacked",2,0,Glacé,V (PVC),Micro onde ,2.93,0.18,0.95,0.19,0.89,3.79,0.06,0.01,0.03,0.21,2.93,3.71,79.02,3.67,30.11,5.68
11207,11207,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux petits légumes, préemballée","Tomato sauce, w vegetables, prepacked",2,0,Glacé,V (PVC),Micro onde ,2.78,0.21,1.03,0.19,0.89,4.49,0.07,0.01,0.03,0.25,3.77,2.38,111.94,4.25,30.69,5.45
11110,11110,aides culinaires et ingrédients divers,sauces,"Sauce vinaigrette (50 à 75% d'huile), préemballée","Salad dressing, (50-75% of oil), prepacked",2,0,Glacé,V (PVC),Pas de préparation,2.49,0.50,2.04,0.30,0.96,11.52,0.29,0.04,0.17,0.67,20.82,182.24,275.30,5.56,39.24,8.95
30125,30125,"viandes, œufs, poissons",charcuteries,Saucisse alsacienne fumée ou Gendarme,Smoked Alsatian sausage or Landjäger,2,0,Glacé,PS,Four ,2.34,1.14,7.26,0.72,4.64,16.82,1.01,0.14,0.61,1.31,32.87,432.58,175.23,6.37,132.59,9.70
30746,30746,"viandes, œufs, poissons",charcuteries,Saucisse cocktail,Cocktail sausage,2,0,Glacé,PS,Four ,2.32,1.42,14.72,0.55,2.68,21.44,1.31,0.19,0.85,1.03,42.53,834.90,146.21,4.34,84.49,8.28
30766,30766,"viandes, œufs, poissons",charcuteries,Saucisse de bière,Beer sausage,2,0,Glacé,Déjà emballé - PET,Four ,2.49,1.36,8.67,0.74,4.36,19.12,1.31,0.19,0.82,1.48,43.26,534.09,199.52,7.29,122.57,10.15
30176,30176,"viandes, œufs, poissons",charcuteries,Saucisse de foie,Liver sausage,2,0,Glacé,PS,Four ,2.28,1.16,12.54,0.44,2.11,17.40,1.06,0.16,0.69,0.76,34.55,698.73,108.27,3.11,65.66,6.37
30134,30134,"viandes, œufs, poissons",charcuteries,Saucisse de Francfort,Frankfurter sausage,2,0,Glacé,Déjà emballé - PET,Four ,2.49,1.36,8.67,0.74,4.36,19.12,1.31,0.19,0.82,1.48,43.26,534.09,199.52,7.29,122.57,10.15
30764,30764,"viandes, œufs, poissons",charcuteries,Saucisse de jambon pur porc,Ham sausage,2,0,Glacé,Déjà emballé - PET,Four ,2.49,1.36,8.67,0.74,4.36,19.12,1.31,0.19,0.82,1.48,43.26,534.09,199.52,7.29,122.57,10.15
30105,30105,"viandes, œufs, poissons",charcuteries,Saucisse de Montbéliard,Montbeliard sausage,2,0,Glacé,PS,Four ,2.79,1.14,7.26,0.72,4.64,16.82,1.01,0.14,0.61,1.31,32.87,432.58,175.23,6.37,132.59,9.70
30104,30104,"viandes, œufs, poissons",charcuteries,Saucisse de Morteau,Morteaux sausage,2,0,Glacé,PS,Four ,2.79,1.14,7.26,0.72,4.64,16.82,1.01,0.14,0.61,1.31,32.87,432.58,175.23,6.37,132.59,9.70
30108,30108,"viandes, œufs, poissons",charcuteries,"Saucisse de Morteau, bouillie/cuite à l'eau","Morteaux sausage, boiled/cooked in water",2,0,Glacé,PS,Four ,2.79,1.14,7.26,0.72,4.64,16.82,1.01,0.14,0.61,1.31,32.87,432.58,175.23,6.37,132.59,9.70
30742,30742,"viandes, œufs, poissons",charcuteries,Saucisse de Strasbourg ou Knack,Strasbourg sausage,2,0,Glacé,PS,Four ,2.32,1.42,14.72,0.55,2.68,21.44,1.31,0.19,0.85,1.03,42.53,834.90,146.21,4.34,84.49,8.28
30110,30110,"viandes, œufs, poissons",charcuteries,"Saucisse de Toulouse, crue","Toulouse sausage, raw",2,0,Glacé,PS,Pas de préparation,2.35,2.06,15.99,0.99,5.39,30.83,1.93,0.28,1.20,2.08,62.13,973.23,290.85,9.95,166.95,14.72
30011,30011,"viandes, œufs, poissons",charcuteries,"Saucisse de Toulouse, cuite","Toulouse sausage, cooked",2,0,Glacé,PS,Four ,2.36,2.12,16.19,1.09,6.45,31.34,1.95,0.28,1.21,2.16,63.10,976.28,297.01,10.21,190.36,15.53
30130,30130,"viandes, œufs, poissons",charcuteries,"Saucisse de volaille, façon charcutière","Poultry sausage, delicatessen style",2,0,Glacé,PS,Four ,2.55,1.53,13.57,0.75,2.05,27.48,1.39,0.20,0.87,1.76,46.26,770.00,224.84,7.61,97.69,12.31
30131,30131,"viandes, œufs, poissons",charcuteries,"Saucisse de volaille, type Knack",Poultry sausage,2,0,Glacé,PS,Four ,2.25,1.67,17.55,0.63,3.08,25.07,1.55,0.23,1.00,1.18,50.01,997.31,168.76,4.93,95.96,9.45
30309,30309,"viandes, œufs, poissons",charcuteries,Saucisse sèche,"Sausage, dried",2,0,Glacé,Déjà emballé - PP/PE,Pas de préparation ,2.53,0.85,5.45,0.51,3.09,11.87,0.79,0.11,0.49,0.93,25.91,325.14,127.62,4.76,83.00,10.19
30118,30118,"viandes, œufs, poissons",charcuteries,Saucisse suisse à cuire,"Swiss sausage, intended to be cook",2,0,Glacé,PS,Four ,2.79,1.14,7.26,0.72,4.64,16.82,1.01,0.14,0.61,1.31,32.87,432.58,175.23,6.37,132.59,9.70
30750,30750,"viandes, œufs, poissons",charcuteries,"Saucisse viennoise, crue","Viennese sausage, pork and veal, raw",2,0,Glacé,PS,Pas de préparation,2.81,2.06,15.99,0.99,5.39,30.83,1.93,0.28,1.20,2.08,62.13,973.23,290.85,9.95,166.95,14.72
30700,30700,"viandes, œufs, poissons",charcuteries,Saucisson à l'ail,Garlic sausage,2,0,Glacé,PS,Four ,2.36,1.46,11.81,0.75,4.33,21.86,1.33,0.19,0.83,1.41,43.59,692.73,201.99,6.57,128.04,10.60
30707,30707,"viandes, œufs, poissons",charcuteries,"Saucisson brioché, cuit","Sausage in a brioche crust, cooked",2,0,Glacé,PS,Four ,2.06,0.67,4.89,0.44,2.64,10.77,0.55,0.08,0.33,0.82,20.57,249.75,93.27,4.17,75.81,8.14
30701,30701,"viandes, œufs, poissons",charcuteries,Saucisson cuit pur porc,"Cooked sausage, pure pork",2,0,Glacé,Déjà emballé - PP/PE,Four ,2.53,1.09,6.88,0.69,4.48,15.02,0.99,0.14,0.61,1.20,32.50,406.77,162.77,6.08,116.81,13.29
